"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idGenotype","idPotManip","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","idWatering","Time","Exact_Time_min"
4098,"126",103.75,0.75,0.00735644192929969,10,103.666724537037,103.833391203704,4532.85348380438,1.62291632755919,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.919791666666667,1.76443904241996,1.31830891330891,"WW",0.416666666666671,600
4099,"126",103.770833333333,0.7708333333,0.00718124503831688,8,103.729212962963,103.833391203704,4536.26921056611,1.58307294055431,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.915666666666667,1.7288747075584,1.3143543956044,"WW",0.4375,630
4100,"126",103.791666666667,0.7916666667,0.00718124503831688,8,103.729212962963,103.833391203704,4536.26921056611,1.58307294055431,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.915666666666667,1.7288747075584,1.3143543956044,"WW",0.458333333333343,660
4101,"126",103.8125,0.8125,0.00718124503831688,8,103.729212962963,103.833391203704,4536.26921056611,1.58307294055431,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.915666666666667,1.7288747075584,1.3143543956044,"WW",0.479166666666671,690
4102,"126",103.833333333333,0.8333333333,0.00709704136698172,7,103.75005787037,103.833391203704,4537.63537476826,1.56403958908756,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.91925,1.70143006699762,1.31287284144427,"WW",0.5,720
4103,"126",103.854166666667,0.8541666667,0.00284451764214661,5,103.833391203704,103.89587962963,4547.08549416204,0.625569421511573,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.907888888888889,0.689037424257026,1.30507631257631,"WW",0.520833333333343,750
4104,"126",103.875,0.875,0.00285968423879345,6,103.833391203704,103.916712962963,4548.65048873456,0.628688496923628,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.89725,0.700683752492202,1.3044363044363,"WW",0.541666666666671,780
4105,"126",103.895833333333,0.8958333333,0.00286080837308898,7,103.833391203704,103.93755787037,4550.27259920477,0.628711425682265,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.899733333333333,0.698775295290011,1.30377856270713,"WW",0.5625,810
4106,"126",103.916666666667,0.9166666667,0.0028405573990378,8,103.833391203704,103.958391203704,4551.9235838802,0.624034509080318,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.897833333333333,0.695044933076278,1.30312118437118,"WW",0.583333333333343,840
4107,"126",103.9375,0.9375,0.00290061700907928,9,103.833391203704,104.00005787037,4553.59079702458,0.636995535693416,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.890166666666667,0.71559131513958,1.30225037308371,"WW",0.604166666666671,870
4108,"126",103.958333333333,0.9583333333,0.00293098786384908,10,103.833391203704,104.041724537037,4555.69509904126,0.643367872548342,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.8937,0.719892438791924,1.30126068376068,"WW",0.625,900
4109,"126",103.979166666667,0.9791666667,0.002957764436559,10,103.84380787037,104.083391203704,4559.7510867936,0.648667960215102,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.890542857142857,0.728396118179235,1.29947802197802,"WW",0.645833333333343,930
4110,"126",104,0,0.00303187841848554,9,103.87505787037,104.12505787037,4566.52116399446,0.663936136416256,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886222222222222,0.749175680509817,1.29661511328178,"WW",0.666666666666671,960
